,State,State Code,Year of Death,Year of Death Code,Age of Mother,Age of Mother Code,ICD Chapter,ICD Chapter Code,Deaths,Births,Death Rate
0,Alabama,1.0,2007.0,2007.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,54.0,8696.0,6.21
1,Alabama,1.0,2007.0,2007.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,17.0,8696.0,1.95 (Unreliable)
2,Alabama,1.0,2007.0,2007.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,23.0,8696.0,2.65
3,Alabama,1.0,2007.0,2007.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,91.0,20228.0,4.50
4,Alabama,1.0,2007.0,2007.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,37.0,20228.0,1.83
5,Alabama,1.0,2007.0,2007.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,41.0,20228.0,2.03
6,Alabama,1.0,2007.0,2007.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,20.0,20228.0,0.99
7,Alabama,1.0,2007.0,2007.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,84.0,18434.0,4.56
8,Alabama,1.0,2007.0,2007.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,30.0,18434.0,1.63
9,Alabama,1.0,2007.0,2007.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,23.0,18434.0,1.25
10,Alabama,1.0,2007.0,2007.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,51.0,11356.0,4.49
11,Alabama,1.0,2007.0,2007.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,24.0,11356.0,2.11
12,Alabama,1.0,2007.0,2007.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,21.0,4998.0,4.20
13,Alabama,1.0,2008.0,2008.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,47.0,8559.0,5.49
14,Alabama,1.0,2008.0,2008.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,25.0,8559.0,2.93
15,Alabama,1.0,2008.0,2008.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,94.0,19980.0,4.71
16,Alabama,1.0,2008.0,2008.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,35.0,19980.0,1.75
17,Alabama,1.0,2008.0,2008.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,37.0,19980.0,1.86
18,Alabama,1.0,2008.0,2008.0,20-24 years,20-24,External causes of morbidity and mortality,V01-Y89,12.0,19980.0,0.60 (Unreliable)
19,Alabama,1.0,2008.0,2008.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,74.0,18603.0,3.98
20,Alabama,1.0,2008.0,2008.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,31.0,18603.0,1.67
21,Alabama,1.0,2008.0,2008.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,17.0,18603.0,0.92 (Unreliable)
22,Alabama,1.0,2008.0,2008.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,51.0,11422.0,4.47
23,Alabama,1.0,2008.0,2008.0,30-34 years,30-34,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,21.0,11422.0,1.84
24,Alabama,1.0,2008.0,2008.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,35.0,4906.0,7.14
25,Alabama,1.0,2009.0,2009.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,56.0,8205.0,6.83
26,Alabama,1.0,2009.0,2009.0,15-19 years,15-19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,12.0,8205.0,1.46 (Unreliable)
27,Alabama,1.0,2009.0,2009.0,15-19 years,15-19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,18.0,8205.0,2.19 (Unreliable)
28,Alabama,1.0,2009.0,2009.0,20-24 years,20-24,Certain conditions originating in the perinatal period,P00-P96,80.0,18918.0,4.23
29,Alabama,1.0,2009.0,2009.0,20-24 years,20-24,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,17.0,18918.0,0.90 (Unreliable)
30,Alabama,1.0,2009.0,2009.0,20-24 years,20-24,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,38.0,18918.0,2.01
31,Alabama,1.0,2009.0,2009.0,25-29 years,25-29,Certain conditions originating in the perinatal period,P00-P96,68.0,18086.0,3.76
32,Alabama,1.0,2009.0,2009.0,25-29 years,25-29,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,27.0,18086.0,1.49
33,Alabama,1.0,2009.0,2009.0,25-29 years,25-29,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,21.0,18086.0,1.16
34,Alabama,1.0,2009.0,2009.0,30-34 years,30-34,Certain conditions originating in the perinatal period,P00-P96,31.0,11571.0,2.68
35,Alabama,1.0,2009.0,2009.0,30-34 years,30-34,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,12.0,11571.0,1.04 (Unreliable)
36,Alabama,1.0,2009.0,2009.0,35-39 years,35-39,Certain conditions originating in the perinatal period,P00-P96,24.0,4598.0,5.22
37,Alabama,1.0,2010.0,2010.0,15-19 years,15-19,Certain conditions originating in the perinatal period,P00-P96,28.0,7343.0,3.81
