Notes,Year,Year Code,State,State Code,Age of Mother 10,Age of Mother 10 Code,Births,Female Population,Fertility Rate,Average Birth Weight,Standard Deviation for Average Birth Weight,Average LMP Gestational Age,Standard Deviation for Average LMP Gestational Age,Average OE Gestational Age,Standard Deviation for Average OE Gestational Age
,2007,2007,Alabama,1,Under 15 years,15-,136,Not Available,Not Available,2998.37,620.62,37.66,3.98,38.01,3.12
,2007,2007,Alabama,1,15 - 17 years,15-17,2815,100067,28.13,3059.11,611.03,38.08,3.31,38.16,2.6
,2007,2007,Alabama,1,18 - 19 years,18-19,5881,66944,87.85,3082.87,590.55,38.22,3.03,38.19,2.46
,2007,2007,Alabama,1,20-24 years,20-24,20228,163425,123.78,3141.11,595.46,38.25,2.87,38.13,2.31
,2007,2007,Alabama,1,25-29 years,25-29,18434,156497,117.79,3208.7,606.35,38.2,2.74,38.09,2.27
,2007,2007,Alabama,1,30-34 years,30-34,11356,145591,78.00,3247.87,628.77,38.09,2.68,38.03,2.32
,2007,2007,Alabama,1,35-39 years,35-39,4998,159044,31.43,3211.88,677.75,37.76,2.9,37.85,2.51
,2007,2007,Alabama,1,40-44 years,40-44,919,166904,5.51,3214.8,677.47,37.61,2.9,37.82,2.44
,2007,2007,Alabama,1,45-49 years,45-49,36,Not Available,Not Available,2890.72,665.19,37.31,2.35,37.44,2.42
,2007,2007,Alaska,2,15 - 17 years,15-17,271,16654,16.27,3314.03,640.46,38.58,3.16,38.54,2.71
,2007,2007,Alaska,2,18 - 19 years,18-19,846,9401,89.99,3367.54,549.47,38.87,2.37,38.75,2.02
,2007,2007,Alaska,2,20-24 years,20-24,3316,24336,136.26,3396.42,563.71,38.84,2.39,38.71,2.05
,2007,2007,Alaska,2,25-29 years,25-29,3184,23398,136.08,3442.69,571.69,38.87,2.21,38.82,1.86
,2007,2007,Alaska,2,30-34 years,30-34,2089,20973,99.60,3454.27,611.56,38.74,2.32,38.72,2.06
,2007,2007,Alaska,2,35-39 years,35-39,1054,22611,46.61,3398.32,623.06,38.49,2.42,38.56,2.14
,2007,2007,Alaska,2,40-44 years,40-44,262,24314,10.78,3361.03,720.89,38.37,2.83,38.35,2.57
,2007,2007,Alaska,2,45-49 years,45-49,23,Not Available,Not Available,3222.39,801.59,38.22,2.89,36.65,4.35
,2007,2007,Arizona,4,Under 15 years,15-,181,Not Available,Not Available,3114.12,507.56,38.12,3,38.3,2.42
,2007,2007,Arizona,4,15 - 17 years,15-17,4379,130982,33.43,3195.19,528.61,38.52,2.79,38.5,2.27
,2007,2007,Arizona,4,18 - 19 years,18-19,8489,84883,100.01,3218.31,545.33,38.64,2.65,38.54,2.19
,2007,2007,Arizona,4,20-24 years,20-24,27875,204621,136.23,3258.56,548.61,38.65,2.55,38.51,2.1
,2007,2007,Arizona,4,25-29 years,25-29,28833,220007,131.05,3314.49,555.08,38.65,2.39,38.5,2.05
,2007,2007,Arizona,4,30-34 years,30-34,21037,195182,107.78,3322.01,583.41,38.5,2.44,38.38,2.11
,2007,2007,Arizona,4,35-39 years,35-39,9968,205433,48.52,3308.77,601.06,38.34,2.47,38.3,2.13
,2007,2007,Arizona,4,40-44 years,40-44,2079,204918,10.15,3248.71,652.94,38.02,2.84,38.04,2.42
,2007,2007,Arizona,4,45-49 years,45-49,135,Not Available,Not Available,3077.23,665.93,37.94,2.64,37.64,2.1
,2007,2007,Arkansas,5,Under 15 years,15-,103,Not Available,Not Available,3013.24,497.87,37.86,3.61,37.97,2.57
,2007,2007,Arkansas,5,15 - 17 years,15-17,1809,59368,30.47,3119.76,568.54,38.37,2.95,38.32,2.46
,2007,2007,Arkansas,5,18 - 19 years,18-19,4117,39176,105.09,3130.26,581.42,38.53,2.82,38.37,2.34
,2007,2007,Arkansas,5,20-24 years,20-24,13960,96034,145.37,3186.5,576.41,38.49,2.63,38.3,2.15
,2007,2007,Arkansas,5,25-29 years,25-29,11715,98159,119.35,3259.06,584.46,38.49,2.42,38.31,2.05
,2007,2007,Arkansas,5,30-34 years,30-34,6369,85904,74.14,3283.73,608.48,38.35,2.59,38.18,2.27
,2007,2007,Arkansas,5,35-39 years,35-39,2753,92510,29.76,3275.09,677.77,38.23,2.75,38.08,2.43
,2007,2007,Arkansas,5,40-44 years,40-44,515,97890,5.26,3214.65,678.78,38.21,2.62,38,2.3
,2007,2007,Arkansas,5,45-49 years,45-49,35,Not Available,Not Available,3136.37,653.63,37.89,2.91,37.89,2.59
,2007,2007,California,6,Under 15 years,15-,663,Not Available,Not Available,3131.91,539.16,38.23,2.83,38.32,2.46
,2007,2007,California,6,15 - 17 years,15-17,17592,830407,21.18,3190.65,551.15,38.6,2.69,38.6,2.27
,2007,2007,California,6,18 - 19 years,18-19,35825,519197,69.00,3232.69,548.36,38.77,2.54,38.7,2.15
,2007,2007,California,6,20-24 years,20-24,128059,1265950,101.16,3290.21,548.64,38.81,2.39,38.68,2.04
,2007,2007,California,6,25-29 years,25-29,150629,1315736,114.48,3325.37,560.77,38.78,2.31,38.63,2.01
,2007,2007,California,6,30-34 years,30-34,135432,1224203,110.63,3324.62,579.5,38.64,2.31,38.53,2.05
,2007,2007,California,6,35-39 years,35-39,78489,1324022,59.28,3308.67,606.94,38.43,2.36,38.38,2.15
,2007,2007,California,6,40-44 years,40-44,18281,1324229,13.81,3261.65,646.65,38.19,2.54,38.18,2.33
,2007,2007,California,6,45-49 years,45-49,1324,Not Available,Not Available,3045.29,756.5,37.54,3.03,37.42,2.87
,2007,2007,California,6,50 years and over,50+,120,Not Available,Not Available,2821.07,839.21,36.99,3.49,36.36,3.48
,2007,2007,Colorado,8,Under 15 years,15-,98,Not Available,Not Available,3040.06,636.56,37.51,4.03,38.32,3.23
,2007,2007,Colorado,8,15 - 17 years,15-17,2229,98275,22.68,3083.31,553.78,38.57,3.02,38.56,2.36
,2007,2007,Colorado,8,18 - 19 years,18-19,4508,63861,70.59,3103.51,536.47,38.69,2.77,38.61,2.21
,2007,2007,Colorado,8,20-24 years,20-24,16342,163106,100.19,3158.91,547.74,38.71,2.58,38.6,2.13
,2007,2007,Colorado,8,25-29 years,25-29,19687,170782,115.28,3205.44,546.39,38.69,2.43,38.61,2.05
,2007,2007,Colorado,8,30-34 years,30-34,16748,162083,103.33,3220.36,562.51,38.57,2.36,38.56,2.05
,2007,2007,Colorado,8,35-39 years,35-39,9238,172512,53.55,3211.3,584.31,38.38,2.38,38.45,2.13
,2007,2007,Colorado,8,40-44 years,40-44,1822,174065,10.47,3140.09,626.11,38.06,2.59,38.23,2.3
,2007,2007,Colorado,8,45-49 years,45-49,125,Not Available,Not Available,2979.46,593.47,37.42,2.62,37.72,2.43
,2007,2007,Colorado,8,50 years and over,50+,12,Not Available,Not Available,1792.92,742.26,32.75,4.71,33.42,4.33
,2007,2007,Connecticut,9,Under 15 years,15-,33,Not Available,Not Available,3275.61,543.57,39.03,1.77,39.21,1.68
,2007,2007,Connecticut,9,15 - 17 years,15-17,883,76084,11.61,3129.69,584.22,38.66,2.95,38.59,2.56
,2007,2007,Connecticut,9,18 - 19 years,18-19,1954,47008,41.57,3176.35,575.52,38.88,2.65,38.73,2.41
,2007,2007,Connecticut,9,20-24 years,20-24,7244,105977,68.35,3238.62,599.83,38.78,2.59,38.63,2.35
,2007,2007,Connecticut,9,25-29 years,25-29,10505,98955,106.16,3297.92,586.19,38.79,2.42,38.64,2.21
,2007,2007,Connecticut,9,30-34 years,30-34,11694,103125,113.40,3313.88,605.1,38.63,2.44,38.54,2.29
,2007,2007,Connecticut,9,35-39 years,35-39,7585,126823,59.81,3323.17,616.12,38.45,2.4,38.43,2.23
,2007,2007,Connecticut,9,40-44 years,40-44,1636,143615,11.39,3276.23,644.36,38.33,2.45,38.32,2.3
,2007,2007,Connecticut,9,45-49 years,45-49,108,Not Available,Not Available,3011.97,770.09,37.29,4.26,37.14,3.67
,2007,2007,Connecticut,9,50 years and over,50+,18,Not Available,Not Available,2379.78,941.68,35.83,5.13,35.22,4.94
,2007,2007,Delaware,10,Under 15 years,15-,17,Not Available,Not Available,3077.35,813.37,37.94,4.43,38.65,4.1
,2007,2007,Delaware,10,15 - 17 years,15-17,391,18207,21.48,3087.92,611.74,38.36,3.46,38.44,2.75
,2007,2007,Delaware,10,18 - 19 years,18-19,853,13512,63.13,3157.81,575.12,38.65,3.08,38.59,2.39
,2007,2007,Delaware,10,20-24 years,20-24,3119,29638,105.24,3195.4,603.58,38.54,2.9,38.51,2.3
,2007,2007,Delaware,10,25-29 years,25-29,3346,29625,112.95,3271.92,600.97,38.63,2.67,38.5,2.2
,2007,2007,Delaware,10,30-34 years,30-34,2778,25760,107.84,3294.4,626.84,38.37,2.66,38.33,2.34
,2007,2007,Delaware,10,35-39 years,35-39,1364,29927,45.58,3276.89,611.74,38.24,2.47,38.21,2.12
,2007,2007,Delaware,10,40-44 years,40-44,291,33110,8.79,3220.98,687.76,37.93,2.65,37.94,2.38
,2007,2007,Delaware,10,45-49 years,45-49,11,Not Available,Not Available,2871.36,1011.82,36.27,5.29,35.45,4.6
,2007,2007,District of Columbia,11,Under 15 years,15-,21,Not Available,Not Available,2849,771.87,37.05,4.88,37.81,4.51
,2007,2007,District of Columbia,11,15 - 17 years,15-17,395,9205,42.91,3050.86,607.59,38.3,3.33,38.47,2.71
,2007,2007,District of Columbia,11,18 - 19 years,18-19,658,11674,56.36,3095.24,586.75,38.29,3.17,38.53,2.67
,2007,2007,District of Columbia,11,20-24 years,20-24,1909,31047,61.49,3093.77,647.03,38.26,3.35,38.26,2.9
,2007,2007,District of Columbia,11,25-29 years,25-29,1965,31573,62.24,3192.49,638.15,38.47,3.13,38.38,2.71
,2007,2007,District of Columbia,11,30-34 years,30-34,2067,25385,81.43,3254.81,666.22,38.48,3.05,38.39,2.75
,2007,2007,District of Columbia,11,35-39 years,35-39,1495,21384,69.91,3223.99,664.36,38.31,2.81,38.19,2.65
,2007,2007,District of Columbia,11,40-44 years,40-44,328,19035,17.23,3223.78,687.63,38.15,3.3,38.14,2.94
,2007,2007,District of Columbia,11,45-49 years,45-49,22,Not Available,Not Available,2920.95,771.54,37.09,2.94,36.41,3.52
,2007,2007,Florida,12,Under 15 years,15-,378,Not Available,Not Available,3015.83,593.16,37.85,3.47,38.16,2.69
,2007,2007,Florida,12,15 - 17 years,15-17,8121,361977,22.44,3105.73,590.21,38.32,3.16,38.32,2.56
,2007,2007,Florida,12,18 - 19 years,18-19,17572,236059,74.44,3151.56,567.95,38.59,2.86,38.45,2.27
,2007,2007,Florida,12,20-24 years,20-24,62647,581327,107.77,3207.76,571.77,38.58,2.73,38.4,2.19
,2007,2007,Florida,12,25-29 years,25-29,64904,574020,113.07,3261.45,581.94,38.56,2.59,38.37,2.13
,2007,2007,Florida,12,30-34 years,30-34,51195,539721,94.85,3274.24,594.56,38.41,2.57,38.27,2.15
,2007,2007,Florida,12,35-39 years,35-39,27767,615417,45.12,3246.86,625.44,38.19,2.67,38.09,2.27
,2007,2007,Florida,12,40-44 years,40-44,6188,670131,9.23,3198.69,659.68,37.99,2.84,37.92,2.46
,2007,2007,Florida,12,45-49 years,45-49,367,Not Available,Not Available,3018.95,700.57,37.47,3.13,37.38,2.89
,2007,2007,Florida,12,50 years and over,50+,26,Not Available,Not Available,2887.38,647.39,37.88,2.9,37.42,1.92
,2007,2007,Georgia,13,Under 15 years,15-,294,Not Available,Not Available,2955.6,665.56,37.59,3.53,37.84,3.41
,2007,2007,Georgia,13,15 - 17 years,15-17,5767,206284,27.96,3083.65,569.08,38.18,2.66,38.35,2.38
,2007,2007,Georgia,13,18 - 19 years,18-19,12318,132488,92.97,3098.71,592.89,38.22,2.68,38.29,2.45
,2007,2007,Georgia,13,20-24 years,20-24,41058,322022,127.50,3171.25,582.98,38.28,2.48,38.34,2.24
,2007,2007,Georgia,13,25-29 years,25-29,41330,341780,120.93,3243.92,603.04,38.29,2.41,38.34,2.22
,2007,2007,Georgia,13,30-34 years,30-34,31230,328669,95.02,3269.77,615.86,38.24,2.4,38.3,2.24
,2007,2007,Georgia,13,35-39 years,35-39,15778,361126,43.69,3253.32,648,38.06,2.51,38.15,2.36
,2007,2007,Georgia,13,40-44 years,40-44,3139,362054,8.67,3187.62,663.29,37.91,2.56,37.99,2.44
,2007,2007,Georgia,13,45-49 years,45-49,203,Not Available,Not Available,3085.07,767.86,37.52,2.86,37.55,2.8
,2007,2007,Georgia,13,50 years and over,50+,20,Not Available,Not Available,2762.1,777.48,37,3.54,36.65,3.04
,2007,2007,Hawaii,15,Under 15 years,15-,18,Not Available,Not Available,2993.11,422.33,37.44,3.79,37.67,2.29
,2007,2007,Hawaii,15,15 - 17 years,15-17,472,26001,18.15,3044.6,644.4,38.02,3.6,38.03,3.06
,2007,2007,Hawaii,15,18 - 19 years,18-19,1138,15600,72.95,3174.98,563.29,38.7,3.15,38.48,2.27
,2007,2007,Hawaii,15,20-24 years,20-24,4679,42813,109.29,3245.61,544.18,38.92,2.71,38.6,2.02
,2007,2007,Hawaii,15,25-29 years,25-29,5099,45437,112.22,3275.11,546.23,38.91,2.55,38.52,2.01
,2007,2007,Hawaii,15,30-34 years,30-34,4365,40076,108.92,3280.03,585.54,38.73,2.61,38.43,2.11
,2007,2007,Hawaii,15,35-39 years,35-39,2667,43855,60.81,3241.25,610.82,38.51,2.47,38.27,2.18
,2007,2007,Hawaii,15,40-44 years,40-44,648,45718,14.17,3184.67,692.14,38.19,2.92,38.04,2.62
,2007,2007,Hawaii,15,45-49 years,45-49,43,Not Available,Not Available,3005.63,682.26,38.37,3.04,37.37,2.03
,2007,2007,Idaho,16,Under 15 years,15-,17,Not Available,Not Available,3235.59,352.93,37.94,3.33,38.71,1.36
,2007,2007,Idaho,16,15 - 17 years,15-17,626,33690,18.58,3184.24,540.99,38.58,2.72,38.49,2.3
,2007,2007,Idaho,16,18 - 19 years,18-19,1631,22931,71.13,3213.43,548.91,38.8,2.59,38.56,2.11
,2007,2007,Idaho,16,20-24 years,20-24,7548,53001,142.41,3272.69,539.16,38.83,2.36,38.57,1.99
,2007,2007,Idaho,16,25-29 years,25-29,7909,50457,156.75,3323.43,537.67,38.75,2.28,38.54,1.93
